reservation_id, room_id, firstname, lastname, email, start_date, end_date
1,3,Test,Test,test@test.pl,2022-07-07T12:53,2022-07-07T12:54
2,2,Test,Test,testing@test.pl,2022-07-14T11:52,2022-07-14T03:56
3,2,Test,Test,testing@test.pl,2022-07-15T08:55,2022-07-15T08:57
4,2,Test,Test,test2@test.pl,2022-07-15T08:57,2022-07-15T08:00
6,2,Test,test,testing@test.pl,2022-07-15T08:59,2022-07-15T08:02
7,1,test,Test,test2@test.pl,2022-07-15T08:58,2022-07-15T08:00
8,2,Test,Test,testing@test.pl,2022-07-15T13:28,2022-07-15T13:30
9,1,Test,Test,test2@test.pl,2022-07-15T13:36,2022-07-15T13:37
10,1,Test,test,testing@test.pl,2022-07-15T16:07,2022-07-15T17:08
11,2,Test,Test,test2@test.pl,2022-07-15T15:25,2022-07-15T15:27
12,5,Test,Test,test2@test.pl,2022-07-18T10:04,2022-07-18T10:06
13,1,Test,test,test@test.pl,2022-07-21T14:13,2022-07-21T14:18
